LandId,Owner,HistoricalName,District,EnglishName,Description,BuildingPointsCount,LastIncome
polygon-1745878844120,TechnoMedici,Fondamenta delle Zattere,Dorsoduro,Wharf of the Rafts,This area along the Giudecca Canal in the sestiere of Dorsoduro was known for its zattere (rafts or barges) that would transport goods along the canal. The nearby Chiesa dello Spirito Santo church was a prominent landmark.,6,0
polygon-1746056377511,GiovanniContarini,"Fondamenta San Severo, Sestiere Castello",Castello,"San Severo Waterfront, Castello District","The area was known for its proximity to the Church of San Severo and its location along the San Severo canal in the Castello sestiere, one of the six main districts of Venice.",7,7736
polygon-1746055579728,BasstheWhale,Ghetto Novo,Cannaregio,New Ghetto,Area of the Cannaregio sestiere where Jewish people were required to live under the Venetian Republic starting in 1516. It was one of the first Jewish ghettos in Europe.,1,0
polygon-1745879036720,BasstheWhale,"Ponte de le Maravegie, San Polo",San Polo,"Bridge of Wonders, San Polo","A bridge in the San Polo sestiere, known for its artisan workshops and proximity to the Rialto market during the 15th century.",7,0
polygon-1746056876739,BasstheWhale,Ponte dei Dai in Sestiere Cannaregio,Cannaregio,Bridge of the Dai in Cannaregio District,"A bridge in the Cannaregio sestiere, near the Church of Santa Maria dei Miracoli. The area was known for its artisan workshops and proximity to the Jewish Ghetto.",37,48994
polygon-1745878962632,BasstheWhale,Ponte del Formager in Sestiere San Polo,San Polo,Bridge of the Cheese Maker in the San Polo District,"This bridge was likely named after a nearby cheese maker or cheese market in the San Polo sestiere, one of the central districts of Venice known for its artisan shops and markets in the 15th century.",3,6270
polygon-1746057291098,ConsiglioDeiDieci,Ramo del Figareto in Sestiere San Marco,San Marco,Figareto Alley in the District of St. Mark,"A narrow alley located in the San Marco sestiere, known for its artisan workshops and proximity to Piazza San Marco, the political and religious heart of 15th century Venice.",6,0
polygon-1746056070563,Italia,Ruga dei Oresi in Sestiere di Cannaregio,Cannaregio,Goldsmith's Street in Cannaregio District,This area in the Cannaregio sestiere was known for its concentration of goldsmiths and jewelers in the 15th century. It was situated near the Chiesa di Santa Sofia and the Rio di Santa Sofia canal.,7,0
polygon-1745879292558,ConsiglioDeiDieci,Sacca della Misericordia,Cannaregio,Mercy's Sack,"In the 15th century, this area was a shallow lagoon used as a landfill and later filled in to create new land. It was not yet developed into the artificial island seen today.",29,13090
polygon-1746052823189,ConsiglioDeiDieci,Sacca della Misericordia,Cannaregio,Mercy's Shallows,"A shallow lagoon area in the Dorsoduro sestiere, known for its marshy wetlands and fishing activities during the 15th century.",4,0
polygon-1745878999491,BasstheWhale,Salizada dei Greci,Castello,Way of the Greeks,"This area was historically known for its Greek immigrant population and the nearby Greek Orthodox church of San Giorgio dei Greci, founded in the late 15th century.",19,5880
polygon-1745879354937,Italia,Salizada San Pantalon in Sestiere di Santa Croce,Santa Croce,San Pantalon Street in the District of Santa Croce,"This area was part of the Santa Croce sestiere, known for its artisan workshops and proximity to the Church of San Pantalon, which dates back to the 12th century.",9,6080
polygon-1746072788813,BasstheWhale,"Salizada San Stae, Sestiere di Santa Croce",Santa Croce,"Salizada San Stae, District of Santa Croce","This area was part of the Santa Croce sestiere, known for its artisan workshops and proximity to the Grand Canal. The nearby Chiesa di San Stae, a church dedicated to Saint Eustachius, dates back to the 11th century.",9,12413
polygon-1745879557583,BasstheWhale,Santa Chiara,Santa Croce,Saint Clare,"In the 15th century, this area was likely known for the Chiesa di Santa Chiara, a church dedicated to Saint Clare that was located near the present-day Ponte della Libertà. The church was part of the Santa Croce sestiere.",15,0
polygon-1745879420223,BasstheWhale,"Sestiere di Dorsoduro, presso la Chiesa di San Sebastiano",Dorsoduro,"Dorsoduro District, near the Church of San Sebastiano","This area in the Dorsoduro sestiere was known for its proximity to the Church of San Sebastiano, which was consecrated in 1468 and housed paintings by renowned Renaissance artist Paolo Veronese.",7,4126
polygon-1746057412398,Italia,Strada de la Carità,Dorsoduro,Street of Charity,"This area was part of the Dorsoduro sestiere and was known for the presence of the Chiesa di Santa Maria della Carità, a church dedicated to the Virgin Mary of Charity. The church and its surrounding area were important religious and cultural centers in 15th century Venice.",64,54897
